scheme,serial_number,indian_standard,title_of_standard,product_or_material,specific_requirement,notification_or_qco,marking_or_conformity_route,source_title,source_url,accessed_on
Scheme X (Certification),2.2,IS/IEC 60947: Part 3:2012,"Low-Voltage switchgear and control gear: Part 3 switches, disconnectors, switch disconnectors and fuse – Combination units","All AC utilization categories Upto 630 A, Upto 440V AC",All test as per IS/IEC 60947 : Part 3 : 2020.,Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time,BIS Scheme X Certification Mark,Scheme X (Certification),https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-08-28
Scheme X (Certification),2.3,IS/IEC 60947: Part 3:2012,"Low-Voltage switchgear and control gear: Part 3 switches, disconnectors, switch disconnectors and fuse – Combination units","All AC utilization categories Above 630 A, Upto 440V AC",All test as per IS/IEC 60947 : Part 3 : 2020.,Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time,BIS Scheme X Certification Mark,Scheme X (Certification),https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-08-28
Scheme X (Certification),2.4,IS/IEC 60947: Part 3:2012,"Low-Voltage switchgear and control gear: Part 3 switches, disconnectors, switch disconnectors and fuse – Combination units","All AC utilization categories All ratings, above 440V AC",All test as per IS/IEC 60947 : Part 3 : 2020.,Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time,BIS Scheme X Certification Mark,Scheme X (Certification),https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-08-28
Scheme X (Certification),2.5,IS/IEC 60947: Part 3:2012,"Low-Voltage switchgear and control gear: Part 3 switches, disconnectors, switch disconnectors and fuse – Combination units","All DC utilization categories, All ratings.",All test as per IS/IEC 60947 : Part 3 : 2020,Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time,BIS Scheme X Certification Mark,Scheme X (Certification),https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-08-28
Scheme X (Certification),3.1 (a),IS/IEC 60947 : Part 4 : Sec 1 : 2018,Low-Voltage Switchgear and Controlgear Part 4 Contactors and Motor-Starters Section 1 Electromechanical Contactors and Motor-Starters (Second Revision ),Contactor -All AC utilization categories Upto 32A,All test as per IS/IEC 60947 : Part 4 : Sec 1 : 2018. except the test listed below in Sr. No. 3.1.(b) of this table.,"Electrical Equipment (Quality Control) Second Amendment Order, 2024",BIS Scheme X Certification Mark,Scheme X (Certification),https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-08-28
Scheme X (Certification),3.1 (b),IS/IEC 60947 : Part 4 : Sec 1 : 2018,Low-Voltage Switchgear and Controlgear Part 4 Contactors and Motor-Starters Section 1 Electromechanical Contactors and Motor-Starters (Second Revision ),Contactor -All AC utilization categories Upto 32A,Electromagnetic compatibility (EMC) mentioned in clause 9.4 and all test specified for specific application as mentioned in the Annexure(s) of IS/IEC 60947 : Part 4 : Sec 1 : 2018.,Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time,BIS Scheme X Certification Mark,Scheme X (Certification),https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-08-28
Scheme X (Certification),3.2,IS/IEC 60947 : Part 4 : Sec 1 : 2018,Low-Voltage Switchgear and Controlgear Part 4 Contactors and Motor-Starters Section 1 Electromechanical Contactors and Motor-Starters (Second Revision ),"Contactor -All AC utilization categories, above 32A",All test as per IS/IEC 60947 : Part 4 : Sec 1 : 2018.,Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time,BIS Scheme X Certification Mark,Scheme X (Certification),https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-08-28
Scheme X (Certification),3.3,IS/IEC 60947 : Part 4 : Sec 1 : 2018,Low-Voltage Switchgear and Controlgear Part 4 Contactors and Motor-Starters Section 1 Electromechanical Contactors and Motor-Starters (Second Revision ),Starter- All AC utilization categories direct-on-line a.c. starter,All test as per IS/IEC 60947 : Part 4 : Sec 1 : 2018,Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time,BIS Scheme X Certification Mark,Scheme X (Certification),https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-08-28
Scheme X (Certification),3.4,IS/IEC 60947 : Part 4 : Sec 1 : 2018,Low-Voltage Switchgear and Controlgear Part 4 Contactors and Motor-Starters Section 1 Electromechanical Contactors and Motor-Starters (Second Revision ),Starter- All AC utilization categories. All other Starters,All test as per IS/IEC 60947 : Part 4 : Sec 1 : 2018.,Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time,BIS Scheme X Certification Mark,Scheme X (Certification),https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-08-28
Scheme X (Certification),3.5,IS/IEC 60947 : Part 4 : Sec 1 : 2018,Low-Voltage Switchgear and Controlgear Part 4 Contactors and Motor-Starters Section 1 Electromechanical Contactors and Motor-Starters (Second Revision ),All DC utilization categories. All DC ratings,All test as per IS/IEC 60947 : Part 4 : Sec 1 : 2018,Product Specific Guidelines for Low Voltage Switchgear and Controlgear: Electromechanical Contactor(s) and Motor Starter(s),BIS Scheme X Certification Mark,Scheme X (Certification),https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-08-28
Scheme X (Certification),4.,IS/IEC 60947 : Part 4 : Sec 2 : 2020,Low – Voltage Switchgear and Controlgear: Part 4 Contactors and Motor – Starters: Sec 2 Semiconductor Motor Controllers and Starters and Soft Starters (Second Revision),All types of product ratings,All test as per IS/IEC 60947 : Part 4 : Sec 2 : 2020.,"Electrical Equipment (Quality Control) Second Amendment Order, 2024",BIS Scheme X Certification Mark,Scheme X (Certification),https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-08-28
Scheme X (Certification),5.,IS/IEC 60947 : Part 4 : Sec 3 : 2020,Low-Voltage Switchgear and Controlgear Part 4 Contactors and Motor-Starters Section 3 Semiconductor Controllers and Semiconductor Contactors for Non-Motor Loads ( Third Revision ),All types of product ratings,All test as per IS/IEC 60947 : Part 4 : Sec 3 : 2020,"Electrical Equipment (Quality Control) Second Amendment Order, 2024",BIS Scheme X Certification Mark,Scheme X (Certification),https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-08-28
Scheme X (Certification),6.1 (a),IS/IEC 60947 : Part 5 : Sec 1 : 2016,Low-Voltage switchgear and control gear: Part 5 control circuit devices and switching elements: Sec 1 electromechanical control circuit devices ( First Revision),Low-Voltage Switchgear and Controlgear Part 5 Control Circuit Devices and Switching,All AC utilization categories Upto 440V AC,Product Specific Guidelines for Low Voltage Switchgear and Controlgear: Control circuit devices and switching elements-Electromechanical control circuit devices,BIS Scheme X Certification Mark,Scheme X (Certification),https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-08-28
Scheme X (Certification),6.1 (b),IS/IEC 60947 : Part 5 : Sec 1 : 2016,Low-Voltage Switchgear and Controlgear Part 5 Control Circuit Devices and Switching,All AC utilization categories Upto 440V AC,Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time,"S.O. 5038(E), dated 6 November 2025 |",BIS Scheme X Certification Mark,Scheme X (Certification),https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-08-28
Scheme X (Certification),6.2,IS/IEC 60947 : Part 5 : Sec 1 : 2016,Low-Voltage Switchgear and Controlgear Part 5 Control Circuit Devices and Switching,All AC utilization categories Above 440V AC,Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time,"S.O. 5038(E), dated 6 November 2025 |",BIS Scheme X Certification Mark,Scheme X (Certification),https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-08-28
Scheme X (Certification),6.3,IS/IEC 60947 : Part 5 : Sec 1 : 2016,Low-Voltage Switchgear and Controlgear Part 5 Control Circuit Devices and Switching,"All DC utilization categories, All DC ratings",Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time,"S.O. 5038(E), dated 6 November 2025 |",BIS Scheme X Certification Mark,Scheme X (Certification),https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-08-28
Scheme X (Certification),7.,IS/IEC 60947: Part 5: Sec 2: 2007,Low-Voltage switchgear and control gear: Part 5 control circuit devices and switching elements: Sec 2 proximity switches,All test as per IS/IEC 60947: Part 5: Sec 2: 2007,"Electrical Equipment (Quality Control) Second Amendment Order, 2024","S.O. 2007 (E), dated 5 May 2025",BIS Scheme X Certification Mark,Scheme X (Certification),https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-08-28
Scheme X (Certification),8.1,IS/IEC 60947 : Part 5 : Sec 5 : 2016,Low-Voltage Switchgear and Controlgear Part 5 Control Circuit Devices and Switching Elements Section 5 Electrical emergency stop devices with mechanical latching function,All devices with button type actuator,All test as per IS/IEC 60947 : Part 5 : Sec 5 : 2016.,Product Specific Guidelines for Low Voltage Switchgear and Controlgear: Control circuit devices and switching elements-Electromechanical control circuit devices with mechanical latching functions,BIS Scheme X Certification Mark,Scheme X (Certification),https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-08-28
Scheme X (Certification),8.2,IS/IEC 60947 : Part 5 : Sec 5 : 2016,Low-Voltage Switchgear and Controlgear Part 5 Control Circuit Devices and Switching Elements Section 5 Electrical emergency stop devices with mechanical latching function,All devices with all types of actuator,All test as per IS/IEC 60947 : Part 5 : Sec 5 : 2016.,Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time,BIS Scheme X Certification Mark,Scheme X (Certification),https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-08-28
Scheme X (Certification),1,"All types of Pumps for handling liquids, liquid elevators and (or)their assemblies /sub-assemblies /components",Type A Standard IS 16189:2018/ ISO 12100:2010 (Safety of Machinery General Principles for Design – Risk Assessment and Risk Reduction) and applicable type B and type C Standards mentioned in the order S.O. 3649 (E) dated 28 August 2024.,"Machinery and Electrical Equipment Safety (Omnibus Technical Regulation) Amendment Order, 2025","S.O. 2579(E) Dated 13 June, 2025 115 Amendment Rules"")","Machinery and Electrical Equipment Safety (Omnibus Technical Regulation) Second Amendment Order, 2025",BIS Scheme X Certification Mark,Scheme X (Certification),https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-08-28
Scheme X (Certification),20,All types of switch gear and control gear equipment operating at voltages exceeding 1000 volts and (or) their assemblies /sub-assemblies /components.,"Last Updated on January 19, 2026",Pause | Play,,,BIS Scheme X Certification Mark,Scheme X (Certification),https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-08-28
